Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectancy.Value,Located.in,Year.Planted
-37.81082703,144.9791593,Melaleuca,14/10/1998,78,30,Park,1998
-37.8119724,144.981312,Araucaria,16/10/1998,83,60,Park,1998
-37.81596948,144.9781862,Pittosporum,10/12/1998,7,10,Park,1998
-37.81208588,144.9795527,Phoenix,16/10/1998,87,60,Park,1998
-37.81451539,144.977743,Ulmus,10/12/1998,136,20,Park,1998
-37.81297214,144.9800807,Washingtonia,1/01/2000,31,60,Park,2000
-37.8140793,144.9819607,Phoenix,13/10/1998,77,60,Park,1998
-37.81239966,144.978628,Platanus,14/10/1998,85,20,Park,1998
-37.81293395,144.9767957,Phoenix,2/01/2000,65,60,Park,1900
-37.81598701,144.9783462,Pittosporum,10/12/1998,8,10,Park,1998
-37.81403778,144.9765637,Eucalyptus,1/01/2000,102,30,Park,1900
-37.81426076,144.9756057,Ulmus,16/10/1998,115,5,Park,1998
-37.81281245,144.979471,Platanus,14/10/1998,70,5,Park,1998
-37.81521353,144.9779792,Fraxinus,10/12/1998,32,60,Park,1998
-37.81438962,144.9765703,Ulmus,16/10/1998,142,10,Park,1998
-37.81575749,144.9781318,Ulmus,10/12/1998,68,5,Street,1998
-37.81451108,144.9756567,Corymbia,1/01/2000,52,60,Park,1900
-37.81603953,144.9785603,Pittosporum,10/12/1998,15,10,Park,1998
-37.81072555,144.9809346,Ulmus,14/10/1998,91,10,Park,1998
-37.81515575,144.9770918,Phoenix,2/01/2000,94,60,Park,1900
-37.81247684,144.9797806,Lagunaria,2/01/2000,45,30,Park,1900
-37.81524728,144.9811748,Ulmus,,5,80,Park,NA
-37.81152578,144.9789689,Sequoia,14/10/1998,39,60,Park,1998
-37.81607197,144.9771279,Ulmus,10/12/1998,17,60,Park,1998
-37.81413708,144.9774074,Ulmus,16/10/1998,119,20,Park,1998
-37.81260216,144.9812078,Platanus,16/10/1998,36,60,Park,1998
-37.81582979,144.9767429,Ulmus,10/12/1998,37,30,Park,1998
-37.81342803,144.9754202,Quercus,1/01/2000,99,60,Park,1900
-37.81116169,144.9796927,Pinus,14/10/1998,123,60,Park,1998
-37.81226503,144.9784972,Hesperocyparis,14/10/1998,47,20,Park,1998
-37.81305733,144.9777825,Corymbia,21/11/1997,29,60,Street,1997
-37.81644456,144.9822515,Ficus,10/12/1998,82,20,Park,1998
-37.81095413,144.9756303,Platanus,21/11/1997,40,10,Street,1997
-37.81249614,144.9801908,Syzygium,2/01/2000,62,30,Park,1900
-37.81401058,144.9794878,Livistona,13/10/1998,32,60,Park,1998
-37.81647732,144.9802831,Pinus,10/09/1998,71,60,Park,1998
-37.81639114,144.9779764,Platanus,20/11/1997,60,20,Street,1997
-37.81461416,144.9819609,Quercus,13/10/1998,39,60,Park,1998
-37.81237531,144.9794516,Ulmus,20/10/1998,13,80,Park,1998
-37.81150647,144.9803224,Ginkgo,19/03/2010,3,80,Park,2010
-37.81233471,144.9824706,Cupressus,16/10/1998,71,60,Park,1998
-37.81152837,144.980601,Ulmus,14/10/1998,100,20,Park,1998
-37.81317172,144.9777635,Corymbia,21/11/1997,39,60,Street,1997
-37.81572022,144.9811014,Araucaria,13/10/1998,88,60,Park,1998
